TimeStamp,Value
20220927134421,3.9703011512756348
20220927134422,3.986656665802002
20220927134423,3.925323486328125
20220927134424,3.9907455444335938
20220927134425,3.9743900299072266
20220927134426,3.5736799240112305
20220927134427,4.105234146118164
20220927134428,4.137945175170898
20220927134429,4.133856296539307
20220927134430,4.121589660644531
20220927134431,4.150211811065674
20220927134432,4.129767417907715
20220927134433,4.976165294647217
20220927134434,4.174745082855225
20220927134435,4.101145267486572
20220927134436,4.162478446960449
20220927134437,4.121589660644531
20220927134438,4.121589660644531
20220927134439,4.109323024749756
20220927134440,4.125678539276123
20220927134441,4.170656204223633
20220927134442,4.150211811065674
20220927134443,4.105234146118164
20220927134444,4.125678539276123
20220927134445,4.092967510223389
20220927134446,4.133856296539307
20220927134447,4.146122932434082
20220927134448,4.080700874328613
20220927134449,4.129767417907715
20220927134450,4.166567325592041
20220927134451,4.154300689697266
20220927134452,4.129767417907715
20220927134453,4.146122932434082
20220927134454,4.121589660644531
20220927134455,4.162478446960449
20220927134456,4.088878631591797
20220927134457,4.166567325592041
20220927134458,4.109323024749756
20220927134459,4.101145267486572
20220927134500,4.0970563888549805
20220927134501,4.182922840118408
20220927134502,4.195189476013184
20220927134503,4.0766119956970215
20220927134504,4.583632946014404
20220927134505,5.000698566436768
20220927134506,4.873943328857422
20220927134507,4.967987537384033
20220927134508,4.91483211517334
20220927134509,4.95980978012085
20220927134510,4.976165294647217
20220927134511,4.918920993804932
20220927134512,4.910743236541748
20220927134513,4.8821210861206055
20220927134514,4.931187629699707
20220927134515,4.91483211517334
20220927134516,4.898476600646973
20220927134517,4.943454265594482
20220927134518,10.111796855926514
20220927134519,14.462363719940186
20220927134520,5.548608303070068
20220927134521,1990.2575850486755
20220927134522,5.151987075805664
20220927134523,4.706299304962158
20220927134524,4.702210426330566
20220927134525,4.681766033172607
20220927134526,4.677677154541016
20220927134527,4.694032669067383
20220927134528,4.653143882751465
20220927134529,4.677677154541016
20220927134530,4.657232761383057
20220927134531,4.66541051864624
20220927134532,4.685854911804199
20220927134533,4.71038818359375
20220927134534,4.685854911804199
20220927134535,4.702210426330566
20220927134536,4.718565940856934
20220927134537,4.649055004119873
20220927134538,4.661321640014648
20220927134539,5.241942405700684
20220927134540,4.730832576751709
20220927134541,4.730832576751709
20220927134542,4.689943790435791
20220927134543,4.706299304962158
20220927134544,4.698121547698975
20220927134545,4.689943790435791
20220927134546,4.694032669067383
20220927134547,9.277665615081787
20220927134548,22.41114377975464
20220927134549,21.02910280227661
20220927134551,448.9670515060425
20220927134552,45.28841972351074
20220927134553,20.199060440063477
20220927134554,1990.47429561615
20220927134555,21.95727825164795
20220927134556,22.43567705154419
20220927134557,21.91638946533203
20220927134558,19.189107418060303
20220927134559,21.793723106384277
20220927134600,20.370793342590332
20220927134601,23.887228965759277
20220927134602,21.13950252532959
20220927134603,21.147680282592773
20220927134604,22.41114377975464
20220927134605,19.1400408744812
20220927134606,21.27443552017212
20220927134607,20.02323865890503
20220927134608,20.669281482696533
20220927134609,20.75105905532837
20220927134610,20.791947841644287
20220927134611,21.065902709960938
20220927134612,21.859145164489746
20220927134613,20.91461420059204
20220927134614,21.442079544067383
20220927134615,21.45843505859375
20220927134616,21.499323844909668
20220927134617,21.012747287750244
20220927134618,21.57292366027832
20220927134619,20.48119306564331
20220927134620,20.61612606048584
20220927134621,20.534348487854004
20220927134622,20.98003625869751
20220927134623,20.464837551116943
20220927134624,22.4806547164917
20220927134625,20.493459701538086
20220927134626,24.615049362182617
20220927134627,77.84407138824463
20220927134628,247.12364673614502
20220927134629,24.958515167236328
20220927134630,247.6388454437256
20220927134631,249.64239597320557
20220927134632,41.747450828552246
20220927134633,79.23837900161743
20220927134634,66.8940544128418
20220927134635,66.06401205062866
20220927134636,66.42383337020874
20220927134637,59.30100679397583
20220927134638,42.630648612976074
20220927134639,1990.4293179512024
20220927134640,194.7410225868225
20220927134641,78.27340364456177
20220927134642,30.249524116516113
20220927134643,81.83072805404663
20220927134644,77.82771587371826
20220927134645,62.67024278640747
20220927134646,13.889920711517334
20220927134647,19.86377239227295
20220927134648,20.763325691223145
20220927134649,49.822986125946045
20220927134650,19.724750518798828
20220927134651,19.29950714111328
20220927134652,18.992841243743896
20220927134653,19.25044059753418
20220927134654,20.722436904907227
20220927134655,1991.2879824638367
20220927134656,21.671056747436523
20220927134657,1991.054916381836
20220927134658,29.69343662261963
20220927134659,8.701133728027344
20220927134700,8.652067184448242
20220927134701,8.676600456237793
20220927134702,8.697044849395752
20220927134703,8.705222606658936
20220927134704,8.676600456237793
20220927134705,8.672511577606201
20220927134706,8.742022514343262
20220927134707,8.709311485290527
20220927134708,8.656156063079834
20220927134709,9.154999256134033
20220927134710,9.142732620239258
20220927134711,8.676600456237793
20220927134712,8.672511577606201
